TimeGenerated,ResourceId,IP Address,User,Event,Workstation
2023-04-25T08:30:00.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.1,user1@contoso.com,Successful Logon,Workstation1
2023-04-25T08:31:05.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.2,user2@contoso.com,Unsuccessful Logon,Workstation2
2023-04-25T08:32:15.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.3,user3@contoso.com,Successful Logon,Workstation3
2023-04-25T08:33:20.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.1,user1@contoso.com,Password Change,Workstation1
2023-04-25T08:34:30.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.4,user4@contoso.com,Account Locked Out,Workstation4
2023-04-25T08:35:40.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.2,user2@contoso.com,Successful Logon,Workstation2
2023-04-25T08:36:50.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.5,user5@contoso.com,Unsuccessful Logon,Workstation5
2023-04-25T08:37:55.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.3,user3@contoso.com,Account Unlocked,Workstation3
2023-04-25T08:39:00.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.6,user6@contoso.com,Successful Logon,Workstation6
2023-04-25T08:40:10.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,10.0.0.4,user4@contoso.com,Successful Logon,Workstation4
